063,Abra,065,Alakazam,"Level Up [16]"
190,Aipom,428,Lopunny,"Level Up with Move [Double Hit]"
698,Amaura,639,Terrakion,"Level Up (@) at Night [39]"
347,Anorith,127,Pinsir,"Level Up [40]"
566,Archen,697,Tyrantrum,"Level Up [37]"
304,Aron,681,Aegislash,"Level Up [32]"
610,Axew,633,Deino,"Level Up [38]"
298,Azurill,270,Lotad,"Level Up with Friendship"
371,Bagon,610,Axew,"Level Up [30]"
343,Baltoy,389,Torterra,"Level Up [36]"
339,Barboach,075,Graveler,"Level Up [30]"
153,Bayleef,673,Gogoat,"Level Up [32]"
374,Beldum,561,Sigilyph,"Level Up [20]"
069,Bellsprout,496,Servine,"Level Up [21]"
712,Bergmite,215,Sneasel,"Level Up [37]"
399,Bidoof,206,Dunsparce,"Level Up [15]"
688,Binacle,272,Ludicolo,"Level Up [39]"
522,Blitzle,695,Heliolisk,"Level Up [27]"
525,Boldore,142,Aerodactyl,"Trade"
438,Bonsly,222,Corsola,"Level Up with Move [Mimic]"
654,Braixen,687,Malamar,"Level Up [36]"
436,Bronzor,681,Aegislash,"Level Up [33]"
406,Budew,545,Scolipede,"Level Up at Morning"
418,Buizel,537,Seismitoad,"Level Up [26]"
001,Bulbasaur,182,Bellossom,"Level Up [16]"
427,Buneary,520,Tranquill,"Level Up with Friendship"
659,Bunnelby,020,Raticate,"Level Up [20]"
412,Burmy,549,Lilligant,"Level Up Female [20]"
412,Burmy,413,Wormadam,"Level Up Male [20]"
331,Cacnea,470,Leafeon,"Level Up [32]"
318,Carvanha,121,Starmie,"Level Up [30]"
268,Cascoon,072,Tentacool,"Level Up [10]"
010,Caterpie,014,Kakuna,"Level Up [7]"
113,Chansey,040,Wigglytuff,"Level Up with Friendship"
004,Charmander,229,Houndoom,"Level Up [16]"
005,Charmeleon,373,Salamence,"Level Up [36]"
420,Cherubi,044,Gloom,"Level Up [25]"
650,Chespin,542,Leavanny,"Level Up [16]"
152,Chikorita,455,Carnivine,"Level Up [16]"
390,Chimchar,126,Magmar,"Level Up [14]"
170,Chinchou,321,Wailord,"Level Up [27]"
433,Chingling,065,Alakazam,"Level Up at Night"
366,Clamperl,139,Omastar,"Trade with Held Item [Deep Sea Tooth]"
366,Clamperl,131,Lapras,"Trade with Held Item [Deep Sea Scale]"
692,Clauncher,099,Kingler,"Level Up [37]"
035,Clefairy,122,Mr. Mime,"Used Item [Moon Stone]"
173,Cleffa,209,Snubbull,"Level Up with Friendship"
415,Combee,277,Swellow,"Level Up Female [21]"
256,Combusken,062,Poliwrath,"Level Up [36]"
341,Corphish,442,Spiritomb,"Level Up [30]"
546,Cottonee,598,Ferrothorn,"Used Item [Sun Stone]"
408,Cranidos,464,Rhyperior,"Level Up [30]"
453,Croagunk,057,Primeape,"Level Up [37]"
159,Croconaw,647,Keldeo,"Level Up [30]"
613,Cubchoo,215,Sneasel,"Level Up [37]"
104,Cubone,660,Diggersby,"Level Up [28]"
155,Cyndaquil,324,Torkoal,"Level Up [14]"
554,Darumaka,257,Blaziken,"Level Up [35]"
585,Deerling,460,Abomasnow,"Level Up [34]"
633,Deino,715,Noivern,"Level Up [50]"
502,Dewott,516,Simipour,"Level Up [36]"
050,Diglett,330,Flygon,"Level Up [26]"
084,Doduo,169,Crobat,"Level Up [31]"
680,Doublade,462,Magnezone,"Used Item [Dusk Stone]"
148,Dragonair,384,Rayquaza,"Level Up [55]"
147,Dratini,705,Sliggoo,"Level Up [30]"
425,Drifloon,178,Xatu,"Level Up [28]"
529,Drilbur,376,Metagross,"Level Up [31]"
096,Drowzee,282,Gardevoir,"Level Up [26]"
580,Ducklett,342,Crawdaunt,"Level Up [35]"
578,Duosion,687,Malamar,"Level Up [41]"
356,Dusclops,609,Chandelure,"Trade with Held Item [Reaper Cloth]"
355,Duskull,593,Jellicent,"Level Up [37]"
557,Dwebble,469,Yanmega,"Level Up [34]"
603,Eelektrik,243,Raikou,"Used Item [Thunder Stone]"
133,Eevee,044,Gloom,"Level Up at Forest"
133,Eevee,460,Abomasnow,"Level Up at Cold"
133,Eevee,417,Pachirisu,"Used Item [Thunder Stone]"
133,Eevee,099,Kingler,"Used Item [Water Stone]"
133,Eevee,654,Braixen,"Used Item [Fire Stone]"
133,Eevee,707,Klefki,"Level Up with 50 Affection + MoveType [Fairy]"
133,Eevee,606,Beheeyem,"Level Up at Morning"
133,Eevee,430,Honchkrow,"Level Up at Night"
023,Ekans,407,Roserade,"Level Up [22]"
125,Electabuzz,479,Rotom,"Trade with Held Item [Electirizer]"
309,Electrike,135,Jolteon,"Level Up [26]"
239,Elekid,604,Eelektross,"Level Up [30]"
605,Elgyem,480,Uxie,"Level Up [42]"
677,Espurr,178,Xatu,"Level Up Male [25]"
677,Espurr,103,Exeggutor,"Level Up Female (SetForm 1) [25]"
102,Exeggcute,709,Trevenant,"Used Item [Leaf Stone]"
349,Feebas,581,Swanna,"Level Up (Beauty) [170]"
349,Feebas,087,Dewgong,"Trade with Held Item [Prism Scale]"
653,Fennekin,391,Monferno,"Level Up [16]"
597,Ferroseed,332,Cacturne,"Level Up [40]"
456,Finneon,340,Whiscash,"Level Up [31]"
180,Flaaffy,125,Electabuzz,"Level Up [30]"
669,Flabébé,702,Dedenne,"Level Up [19]"
